2021-06-21 12:06:434 INFO  HomePage :109 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:521 INFO  HomePage :118 - Register message:[[ChromeDriver: chrome on WINDOWS (cc55978b0b213e0558ba7e06db37021d)] -> xpath: //div[text()='Your registration completed']]
2021-06-21 12:06:355 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:77 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (b428c2c7d0fe036708e26c25d301e9b8)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:117 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (b428c2c7d0fe036708e26c25d301e9b8)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:454 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:239 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:269 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:403 INFO  HomePage :65 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:432 INFO  HomePage :69 - Get first name:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:550 INFO  HomePage :74 - Get last name:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:730 INFO  HomePage :80 - Date:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:808 INFO  HomePage :85 - Month:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
2021-06-21 12:06:886 INFO  HomePage :90 - Year:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //select[@name='DateOfBirthYear']//option[contains(text(),'2011')]]
2021-06-21 12:06:917 INFO  HomePage :94 - Get Email id:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //input[@id='Email']]
